
Sesión modificada.


 COURSE_NO |=| SECTION_NO |=| DESCRIPTION                    |=| LOCATION        |=| INSTRUCTOR_ID |=| LAST_NAME       |=| FIRST_NAME                 
---------- |=| ---------- |=| ------------------------------ |=| --------------- |=| ------------- |=| --------------- |=| -------------------------  
        10 |=|          2 |=| DP Overview                    |=| L214            |=|           102 |=| Wojick          |=| Tom                        
        20 |=|          2 |=| Intro to Computers             |=| L210            |=|           103 |=| Schorin         |=| Nina                       
        20 |=|          4 |=| Intro to Computers             |=| L214            |=|           104 |=| Pertez          |=| Gary                       
        20 |=|          7 |=| Intro to Computers             |=| L509            |=|           105 |=| Morris          |=| Anita                      
        20 |=|          8 |=| Intro to Computers             |=| L210            |=|           106 |=| Smythe          |=| Todd                       
        25 |=|          3 |=| Intro to Programming           |=| L507            |=|           101 |=| Hanks           |=| Fernand                    
        25 |=|          4 |=| Intro to Programming           |=| L214            |=|           102 |=| Wojick          |=| Tom                        
        25 |=|          5 |=| Intro to Programming           |=| L509            |=|           103 |=| Schorin         |=| Nina                       
        25 |=|          6 |=| Intro to Programming           |=| L509            |=|           104 |=| Pertez          |=| Gary                       
        25 |=|          7 |=| Intro to Programming           |=| L210            |=|           105 |=| Morris          |=| Anita                      
        25 |=|          8 |=| Intro to Programming           |=| L509            |=|           106 |=| Smythe          |=| Todd                       
        25 |=|          1 |=| Intro to Programming           |=| M311            |=|           107 |=| Frantzen        |=| Marilyn                    
        25 |=|          9 |=| Intro to Programming           |=| L507            |=|           107 |=| Frantzen        |=| Marilyn                    
        25 |=|          2 |=| Intro to Programming           |=| L210            |=|           108 |=| Lowry           |=| Charles                    
       100 |=|          1 |=| Hands-On Windows               |=| L214            |=|           102 |=| Wojick          |=| Tom                        
       100 |=|          2 |=| Hands-On Windows               |=| L500            |=|           103 |=| Schorin         |=| Nina                       
       100 |=|          3 |=| Hands-On Windows               |=| L509            |=|           104 |=| Pertez          |=| Gary                       
       100 |=|          4 |=| Hands-On Windows               |=| L507            |=|           105 |=| Morris          |=| Anita                      
       100 |=|          5 |=| Hands-On Windows               |=| L214            |=|           106 |=| Smythe          |=| Todd                       
       120 |=|          3 |=| Intro to Java Programming      |=| L509            |=|           101 |=| Hanks           |=| Fernand                    
       120 |=|          4 |=| Intro to Java Programming      |=| L509            |=|           102 |=| Wojick          |=| Tom                        
       120 |=|          5 |=| Intro to Java Programming      |=| L210            |=|           103 |=| Schorin         |=| Nina                       
       120 |=|          7 |=| Intro to Java Programming      |=| L507            |=|           104 |=| Pertez          |=| Gary                       
       120 |=|          1 |=| Intro to Java Programming      |=| L507            |=|           107 |=| Frantzen        |=| Marilyn                    
       120 |=|          2 |=| Intro to Java Programming      |=| L206            |=|           108 |=| Lowry           |=| Charles                    
       122 |=|          5 |=| Intermediate Java Programming  |=| L507            |=|           101 |=| Hanks           |=| Fernand                    
